Year,Word,Frequency,Raw Frequency
2017,rohingya,969,385
2017,myanmar,830,330
2017,people,818,325
2017,government,619,246
2017,refugee,584,232
2017,country,553,220
2017,dhaka,470,187
2017,group,463,184
2017,police,440,175
2017,attack,433,172
2017,bangladeshi,423,168
2017,state,352,140
2017,right,350,139
2017,home,347,138
2017,border,340,135
2017,official,309,123
2017,killed,309,123
2017,child,304,121
2017,camp,299,119
2017,man,289,115
2017,militant,264,105
2017,violence,259,103
2017,family,249,99
2017,muslim,236,94
2017,rakhine,234,93
2017,security,234,93
2017,water,229,91
2017,india,224,89
2017,international,224,89
2017,nation,221,88
2017,world,219,87
2017,coxs bazar,214,85
2017,woman,211,84
2017,human,199,79
2017,islamist,199,79
2017,area,196,78
2017,islam,196,78
2017,worker,196,78
2017,military,196,78
2017,united,191,76
2017,million,184,73
2017,recent,171,68
2017,village,171,68
2017,near,169,67
2017,district,166,66
2017,authority,166,66
2017,flood,166,66
2017,boat,164,65
2017,just,164,65
2017,change,158,63
2017,statue,158,63
2017,september,156,62
2017,life,153,61
2017,death,151,60
2017,died,151,60
2017,local,151,60
2017,islamic,151,60
2017,ullah,151,60
2017,leader,148,59
2017,member,146,58
2017,thousand,146,58
2017,fled,143,57
2017,house,141,56
2017,place,138,55
2017,army,136,54
2017,law,136,54
2017,food,136,54
2017,run,136,54
2017,ahmed,133,53
2017,girl,133,53
2017,force,133,53
2017,community,133,53
2017,shelter,131,52
2017,report,131,52
2017,textbook,128,51
2017,court,126,50
2017,general,123,49
2017,killing,121,48
2017,ethnic,121,48
2017,river,121,48
2017,want,121,48
2017,took,121,48
2017,rain,118,47
2017,long,118,47
2017,cafe,118,47
2017,party,116,46
2017,living,116,46
2017,pope,116,46
2017,officer,113,45
2017,land,113,45
2017,came,113,45
2017,activist,113,45
2017,added,111,44
2017,number,111,44
2017,island,111,44
2017,work,108,43
2017,case,108,43
2017,school,108,43
2017,left,108,43
2017,aid,108,43
2017,agency,108,43
2017,england,108,43
2017,young,106,42
2017,help,106,42
2017,return,106,42
2017,crisis,106,42
2017,capital,106,42
2017,high,103,41
2017,end,103,41
2017,live,103,41
2017,used,101,40
2017,need,101,40
2017,national,101,40
2017,building,101,40
2017,pakistan,101,40
2017,city,98,39
2017,situation,98,39
2017,minority,98,39
2017,august,98,39
2017,prime minister,98,39
2017,operation,96,38
2017,trying,96,38
2017,hand,96,38
2017,australia,96,38
2017,series,93,37
2017,condition,93,37
2017,secular,93,37
2017,chittagong,91,36
2017,terrorist,91,36
2017,away,91,36
2017,plan,91,36
2017,know,91,36
2017,factory,91,36
2017,team,88,35
2017,injured,88,35
2017,began,88,35
2017,accused,88,35
2017,crossing,88,35
2017,ago,88,35
2017,indian,88,35
2017,point,88,35
2017,later,88,35
2017,protest,86,34
2017,earlier,86,34
2017,action,86,34
2017,small,86,34
2017,makeshift,86,34
2017,restaurant,86,34
2017,hospital,86,34
2017,dozen,86,34
2017,crackdown,86,34
2017,cricket,86,34
2017,night,83,33
2017,victim,83,33
2017,set,83,33
2017,population,83,33
2017,denied,83,33
2017,inside,83,33
2017,office,83,33
2017,arrived,83,33
2017,board,83,33
2017,safety,83,33
2017,past,83,33
2017,religious,83,33
2017,director,81,32
2017,organization,81,32
2017,cross,81,32
2017,rahman,81,32
2017,good,81,32
2017,cyclone,81,32
2017,ball,81,32
2017,body,78,31
2017,bengal,78,31
2017,went,78,31
2017,spokesman,78,31
2017,humanitarian,78,31
2017,fleeing,78,31
2017,lost,78,31
2017,july,78,31
2017,guard,78,31
2017,wife,78,31
2017,test,78,31
2017,wicket,78,31
2017,taking,75,30
2017,early,75,30
2017,son,75,30
2017,charge,75,30
2017,awami league,75,30
2017,dead,75,30
2017,civilian,75,30
2017,issue,75,30
2017,foreigner,75,30
2017,marriage,73,29
2017,khan,73,29
2017,saying,73,29
2017,far,73,29
2017,october,73,29
2017,cleansing,73,29
2017,ground,73,29
2017,claimed,73,29
2017,chief,73,29
2017,yearold,73,29
2017,removal,73,29
2017,climate,73,29
2017,rise,70,28
2017,little,70,28
2017,watch,70,28
2017,better,70,28
2017,education,70,28
2017,level,70,28
2017,development,70,28
2017,close,70,28
2017,sheikh hasina,70,28
2017,affected,70,28
2017,known,70,28
2017,yaba,70,28
2017,support,70,28
2017,played,70,28
2017,garment,70,28
2017,late,68,27
2017,statement,68,27
2017,taken,68,27
2017,justice,68,27
2017,asked,68,27
2017,order,68,27
2017,mosque,68,27
2017,supply,68,27
2017,meeting,68,27
2017,hit,68,27
2017,head,68,27
2017,tea,68,27
2017,labor,65,26
2017,madrasa,65,26
2017,crime,65,26
2017,red,65,26
2017,murder,65,26
2017,suspect,65,26
2017,responsibility,65,26
2017,political,65,26
2017,drug,65,26
2017,alam,63,25
2017,arrest,63,25
2017,york,63,25
2017,ministry,63,25
2017,daughter,63,25
2017,given,63,25
2017,asia,63,25
2017,best,63,25
2017,half,63,25
2017,response,63,25
2017,lot,63,25
2017,begum,63,25
2017,going,63,25
2017,ali,63,25
2017,word,63,25
2017,wage,63,25
2017,disappearance,63,25
2017,soldier,60,24
2017,department,60,24
2017,led,60,24
2017,pay,60,24
2017,forced,60,24
2017,use,60,24
2017,sea,60,24
2017,public,60,24
2017,arrested,60,24
2017,hostage,60,24
2017,stand,60,24
2017,hossain,60,24
2017,father,60,24
2017,blogger,60,24
2017,global,60,24
2017,game,60,24
2017,match,60,24
2017,landslide,58,23
2017,fear,58,23
2017,road,58,23
2017,foreign,58,23
2017,south,58,23
2017,working,58,23
2017,president,58,23
2017,bengali,58,23
2017,naf,58,23
2017,held,58,23
2017,hindu,58,23
2017,center,58,23
2017,news,58,23
2017,storm,58,23
2017,francis,58,23
2017,reported,55,22
2017,disaster,55,22
2017,major,55,22
2017,escape,55,22
2017,face,55,22
2017,rape,55,22
2017,risk,55,22
2017,kutupalong,55,22
2017,burmese,55,22
2017,soon,55,22
2017,aung,55,22
2017,war,55,22
2017,region,55,22
2017,monsoon,55,22
2017,act,55,22
2017,start,55,22
2017,demand,55,22
2017,student,55,22
2017,radical,55,22
2017,heavy,53,21
2017,missing,53,21
2017,described,53,21
2017,tried,53,21
2017,mother,53,21
2017,parent,53,21
2017,senior,53,21
2017,decade,53,21
2017,november,53,21
2017,relative,53,21
2017,fish,53,21
2017,safe,53,21
2017,san,53,21
2017,suu,53,21
2017,kyi,53,21
2017,carrying,53,21
2017,look,53,21
2017,suspected,53,21
2017,rohingyas,53,21
2017,east,53,21
2017,seen,53,21
2017,bomb,53,21
2017,brand,53,21
2017,opposition,53,21
2017,bay,50,20
2017,access,50,20
2017,arrival,50,20
2017,husband,50,20
2017,criticism,50,20
2017,hope,50,20
2017,buddhist,50,20
2017,tree,50,20
2017,targeted,50,20
2017,claim,50,20
2017,campaign,50,20
2017,helenius,50,20
2017,think,50,20
2017,extremist,50,20
2017,tamim,50,20
2017,concern,50,20
2017,effort,50,20
2017,injury,50,20
2017,visit,50,20
2017,medium,50,20
2017,brought,50,20
2017,brother,50,20
2017,northern,50,20
2017,cost,50,20
2017,owner,50,20
2017,pressure,50,20
2017,suicide,50,20
2017,social,50,20
2017,moment,50,20
2017,hefazat,50,20
2017,network,48,19
2017,source,48,19
2017,different,48,19
2017,lived,48,19
2017,problem,48,19
2017,rice,48,19
2017,coming,48,19
2017,line,48,19
2017,making,48,19
2017,raised,48,19
2017,shot,48,19
2017,using,48,19
2017,destroyed,48,19
2017,main,48,19
2017,holey,48,19
2017,north,48,19
2017,carried,48,19
2017,blast,48,19
2017,event,48,19
2017,flooding,48,19
2017,stop,48,19
2017,sylhet,48,19
2017,large,48,19
2017,west,48,19
2017,power,48,19
2017,urged,48,19
2017,hefazateislam,48,19
2017,worked,48,19
2017,tournament,48,19
2017,victory,48,19
2017,flooded,45,18
2017,resident,45,18
2017,strong,45,18
2017,allow,45,18
2017,married,45,18
2017,doe,45,18
2017,theyre,45,18
2017,outside,45,18
2017,huge,45,18
2017,result,45,18
2017,spoke,45,18
2017,council,45,18
2017,attacked,45,18
2017,estimated,45,18
2017,persecution,45,18
2017,villager,45,18
2017,bakery,45,18
2017,moved,45,18
2017,minister,45,18
2017,visited,45,18
2017,friend,45,18
2017,writer,45,18
2017,election,45,18
2017,saw,45,18
2017,captain,43,17
2017,leaving,43,17
2017,damaged,43,17
2017,threat,43,17
2017,domestic,43,17
2017,received,43,17
2017,cover,43,17
2017,money,43,17
2017,age,43,17
2017,currently,43,17
2017,street,43,17
2017,increase,43,17
2017,stay,43,17
2017,flee,43,17
2017,continue,43,17
2017,ifrcmirva,43,17
2017,difficult,43,17
2017,field,43,17
2017,university,43,17
2017,artisan,43,17
2017,released,43,17
2017,season,43,17
2017,illegal,43,17
2017,built,43,17
2017,explosion,43,17
2017,town,43,17
2017,boy,43,17
2017,champion,43,17
2017,short,43,17
2017,airport,43,17
2017,warning,43,17
2017,recently,43,17
2017,record,43,17
2017,lawyer,43,17
