Publication,Word,Frequency,Logo
CNN,people,585,cnn_logo.svg
CNN,building,391,cnn_logo.svg
CNN,dhaka,370,cnn_logo.svg
CNN,country,336,cnn_logo.svg
CNN,police,310,cnn_logo.svg
CNN,bangladeshi,300,cnn_logo.svg
CNN,collapse,274,cnn_logo.svg
CNN,worker,272,cnn_logo.svg
CNN,government,256,cnn_logo.svg
CNN,refugee,253,cnn_logo.svg
CNN,rohingya,249,cnn_logo.svg
CNN,factory,227,cnn_logo.svg
CNN,death,216,cnn_logo.svg
CNN,right,216,cnn_logo.svg
CNN,group,195,cnn_logo.svg
CNN,myanmar,191,cnn_logo.svg
CNN,attack,190,cnn_logo.svg
CNN,state,172,cnn_logo.svg
CNN,killed,166,cnn_logo.svg
CNN,child,159,cnn_logo.svg
CNN,garment,153,cnn_logo.svg
CNN,official,150,cnn_logo.svg
CNN,home,147,cnn_logo.svg
CNN,family,142,cnn_logo.svg
CNN,million,140,cnn_logo.svg
CNN,authority,132,cnn_logo.svg
CNN,india,129,cnn_logo.svg
CNN,camp,128,cnn_logo.svg
CNN,woman,127,cnn_logo.svg
CNN,party,126,cnn_logo.svg
CNN,protest,123,cnn_logo.svg
CNN,man,122,cnn_logo.svg
CNN,human,120,cnn_logo.svg
CNN,safety,119,cnn_logo.svg
CNN,border,116,cnn_logo.svg
CNN,violence,114,cnn_logo.svg
CNN,international,114,cnn_logo.svg
CNN,killing,113,cnn_logo.svg
CNN,world,107,cnn_logo.svg
CNN,capital,106,cnn_logo.svg
CNN,work,106,cnn_logo.svg
CNN,boat,106,cnn_logo.svg
CNN,disaster,103,cnn_logo.svg
CNN,body,102,cnn_logo.svg
CNN,april,102,cnn_logo.svg
CNN,died,101,cnn_logo.svg
CNN,islam,97,cnn_logo.svg
CNN,district,95,cnn_logo.svg
CNN,life,93,cnn_logo.svg
CNN,hospital,93,cnn_logo.svg
CNN,hide,93,cnn_logo.svg
CNN,water,92,cnn_logo.svg
CNN,case,92,cnn_logo.svg
CNN,local,88,cnn_logo.svg
CNN,opposition,88,cnn_logo.svg
CNN,blogger,85,cnn_logo.svg
CNN,election,84,cnn_logo.svg
CNN,reported,83,cnn_logo.svg
CNN,nation,82,cnn_logo.svg
CNN,thousand,81,cnn_logo.svg
CNN,area,81,cnn_logo.svg
CNN,agency,81,cnn_logo.svg
CNN,activist,81,cnn_logo.svg
CNN,statement,80,cnn_logo.svg
CNN,muslim,80,cnn_logo.svg
CNN,report,78,cnn_logo.svg
CNN,just,78,cnn_logo.svg
CNN,security,78,cnn_logo.svg
CNN,rescue,74,cnn_logo.svg
CNN,war,74,cnn_logo.svg
CNN,court,73,cnn_logo.svg
CNN,september,73,cnn_logo.svg
CNN,leader,73,cnn_logo.svg
CNN,indian,73,cnn_logo.svg
CNN,city,72,cnn_logo.svg
CNN,rahman,72,cnn_logo.svg
CNN,minister,72,cnn_logo.svg
CNN,cyclone,72,cnn_logo.svg
CNN,condition,71,cnn_logo.svg
CNN,issue,71,cnn_logo.svg
CNN,hossain,70,cnn_logo.svg
CNN,coxs bazar,70,cnn_logo.svg
CNN,near,70,cnn_logo.svg
CNN,military,70,cnn_logo.svg
CNN,ahmed,68,cnn_logo.svg
CNN,prime minister,68,cnn_logo.svg
CNN,director,67,cnn_logo.svg
CNN,rain,66,cnn_logo.svg
CNN,arrested,66,cnn_logo.svg
CNN,recent,66,cnn_logo.svg
CNN,medium,66,cnn_logo.svg
CNN,want,66,cnn_logo.svg
CNN,food,65,cnn_logo.svg
CNN,islamist,65,cnn_logo.svg
CNN,officer,63,cnn_logo.svg
CNN,operation,63,cnn_logo.svg
CNN,injured,63,cnn_logo.svg
CNN,organization,63,cnn_logo.svg
CNN,law,62,cnn_logo.svg
CNN,militant,62,cnn_logo.svg
telegraph,england,566,telegraph_logo.svg
telegraph,ball,505,telegraph_logo.svg
telegraph,people,434,telegraph_logo.svg
telegraph,country,335,telegraph_logo.svg
telegraph,dhaka,323,telegraph_logo.svg
telegraph,world,283,telegraph_logo.svg
telegraph,building,272,telegraph_logo.svg
telegraph,factory,271,telegraph_logo.svg
telegraph,team,262,telegraph_logo.svg
telegraph,just,257,telegraph_logo.svg
telegraph,government,234,telegraph_logo.svg
telegraph,single,232,telegraph_logo.svg
telegraph,india,216,telegraph_logo.svg
telegraph,cricket,213,telegraph_logo.svg
telegraph,police,200,telegraph_logo.svg
telegraph,run,183,telegraph_logo.svg
telegraph,player,181,telegraph_logo.svg
telegraph,wicket,179,telegraph_logo.svg
telegraph,worker,171,telegraph_logo.svg
telegraph,international,168,telegraph_logo.svg
telegraph,game,167,telegraph_logo.svg
telegraph,cup,164,telegraph_logo.svg
telegraph,right,163,telegraph_logo.svg
telegraph,bangladeshi,162,telegraph_logo.svg
telegraph,test,157,telegraph_logo.svg
telegraph,family,157,telegraph_logo.svg
telegraph,home,156,telegraph_logo.svg
telegraph,death,152,telegraph_logo.svg
telegraph,work,151,telegraph_logo.svg
telegraph,shakib,146,telegraph_logo.svg
telegraph,play,146,telegraph_logo.svg
telegraph,attack,145,telegraph_logo.svg
telegraph,group,143,telegraph_logo.svg
telegraph,tour,142,telegraph_logo.svg
telegraph,garment,137,telegraph_logo.svg
telegraph,good,133,telegraph_logo.svg
telegraph,official,132,telegraph_logo.svg
telegraph,killed,132,telegraph_logo.svg
telegraph,water,129,telegraph_logo.svg
telegraph,pakistan,128,telegraph_logo.svg
telegraph,roy,127,telegraph_logo.svg
telegraph,security,123,telegraph_logo.svg
telegraph,match,123,telegraph_logo.svg
telegraph,series,122,telegraph_logo.svg
telegraph,going,121,telegraph_logo.svg
telegraph,man,120,telegraph_logo.svg
telegraph,need,119,telegraph_logo.svg
telegraph,condition,117,telegraph_logo.svg
telegraph,away,117,telegraph_logo.svg
telegraph,end,117,telegraph_logo.svg
telegraph,million,114,telegraph_logo.svg
telegraph,party,114,telegraph_logo.svg
telegraph,start,113,telegraph_logo.svg
telegraph,child,113,telegraph_logo.svg
telegraph,hit,109,telegraph_logo.svg
telegraph,short,105,telegraph_logo.svg
telegraph,leg,105,telegraph_logo.svg
telegraph,refugee,104,telegraph_logo.svg
telegraph,hand,104,telegraph_logo.svg
telegraph,rohingya,99,telegraph_logo.svg
telegraph,inside,98,telegraph_logo.svg
telegraph,rashid,97,telegraph_logo.svg
telegraph,disaster,95,telegraph_logo.svg
telegraph,woman,93,telegraph_logo.svg
telegraph,win,93,telegraph_logo.svg
telegraph,long,92,telegraph_logo.svg
telegraph,camp,92,telegraph_logo.svg
telegraph,bowler,92,telegraph_logo.svg
telegraph,collapse,92,telegraph_logo.svg
telegraph,far,89,telegraph_logo.svg
telegraph,local,89,telegraph_logo.svg
telegraph,know,88,telegraph_logo.svg
telegraph,cover,88,telegraph_logo.svg
telegraph,working,87,telegraph_logo.svg
telegraph,rahman,87,telegraph_logo.svg
telegraph,ground,86,telegraph_logo.svg
telegraph,left,86,telegraph_logo.svg
telegraph,moeen,86,telegraph_logo.svg
telegraph,woakes,85,telegraph_logo.svg
telegraph,high,84,telegraph_logo.svg
telegraph,life,84,telegraph_logo.svg
telegraph,leader,83,telegraph_logo.svg
telegraph,safety,83,telegraph_logo.svg
telegraph,boundary,83,telegraph_logo.svg
telegraph,case,82,telegraph_logo.svg
telegraph,captain,82,telegraph_logo.svg
telegraph,nation,81,telegraph_logo.svg
telegraph,want,81,telegraph_logo.svg
telegraph,batsman,81,telegraph_logo.svg
telegraph,inning,81,telegraph_logo.svg
telegraph,mahmudullah,81,telegraph_logo.svg
telegraph,place,80,telegraph_logo.svg
telegraph,took,80,telegraph_logo.svg
telegraph,strike,80,telegraph_logo.svg
telegraph,hasan,80,telegraph_logo.svg
telegraph,war,80,telegraph_logo.svg
telegraph,election,79,telegraph_logo.svg
telegraph,buttler,79,telegraph_logo.svg
telegraph,owner,79,telegraph_logo.svg
telegraph,body,78,telegraph_logo.svg
BBC,people,642,bbc_logo.svg
BBC,government,436,bbc_logo.svg
BBC,dhaka,432,bbc_logo.svg
BBC,country,420,bbc_logo.svg
BBC,police,393,bbc_logo.svg
BBC,attack,319,bbc_logo.svg
BBC,bangladeshi,316,bbc_logo.svg
BBC,group,274,bbc_logo.svg
BBC,party,268,bbc_logo.svg
BBC,killed,258,bbc_logo.svg
BBC,death,238,bbc_logo.svg
BBC,official,215,bbc_logo.svg
BBC,india,203,bbc_logo.svg
BBC,opposition,199,bbc_logo.svg
BBC,local,196,bbc_logo.svg
BBC,leader,195,bbc_logo.svg
BBC,home,187,bbc_logo.svg
BBC,killing,181,bbc_logo.svg
BBC,islamist,173,bbc_logo.svg
BBC,man,169,bbc_logo.svg
BBC,myanmar,167,bbc_logo.svg
BBC,factory,167,bbc_logo.svg
BBC,family,166,bbc_logo.svg
BBC,building,158,bbc_logo.svg
BBC,election,157,bbc_logo.svg
BBC,rohingya,157,bbc_logo.svg
BBC,war,156,bbc_logo.svg
BBC,state,152,bbc_logo.svg
BBC,million,148,bbc_logo.svg
BBC,area,143,bbc_logo.svg
BBC,protest,140,bbc_logo.svg
BBC,died,139,bbc_logo.svg
BBC,militant,138,bbc_logo.svg
BBC,blogger,138,bbc_logo.svg
BBC,right,137,bbc_logo.svg
BBC,student,133,bbc_logo.svg
BBC,islam,129,bbc_logo.svg
BBC,violence,128,bbc_logo.svg
BBC,muslim,125,bbc_logo.svg
BBC,security,124,bbc_logo.svg
BBC,report,124,bbc_logo.svg
BBC,number,123,bbc_logo.svg
BBC,news,123,bbc_logo.svg
BBC,activist,122,bbc_logo.svg
BBC,worker,120,bbc_logo.svg
BBC,woman,119,bbc_logo.svg
BBC,prime minister,117,bbc_logo.svg
BBC,thousand,117,bbc_logo.svg
BBC,played,117,bbc_logo.svg
BBC,capital,115,bbc_logo.svg
BBC,bnp,114,bbc_logo.svg
BBC,world,113,bbc_logo.svg
BBC,pakistan,112,bbc_logo.svg
BBC,international,110,bbc_logo.svg
BBC,member,109,bbc_logo.svg
BBC,sheikh hasina,108,bbc_logo.svg
BBC,court,107,bbc_logo.svg
BBC,child,107,bbc_logo.svg
BBC,islamic,107,bbc_logo.svg
BBC,agency,106,bbc_logo.svg
BBC,authority,106,bbc_logo.svg
BBC,city,106,bbc_logo.svg
BBC,crime,102,bbc_logo.svg
BBC,medium,100,bbc_logo.svg
BBC,awami league,99,bbc_logo.svg
BBC,accused,99,bbc_logo.svg
BBC,district,98,bbc_logo.svg
BBC,secular,98,bbc_logo.svg
BBC,supporter,97,bbc_logo.svg
BBC,life,97,bbc_logo.svg
