Publication,Word,Frequency,Logo
CNN,people,582,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,building,373,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,dhaka,347,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,police,309,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,rohingya,249,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,government,240,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,bangladeshi,238,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,workers,230,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,country,194,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,rights,178,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,death,173,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,killed,166,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,refugees,166,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,collapses,164,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,myanmar,151,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,state,148,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,garment,140,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,bangladeshs,140,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,minister,136,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,authorities,123,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,years,122,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,children,122,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,million,121,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,group,120,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,safety,119,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,factory,118,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,human,117,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,violence,114,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,collapse,110,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,factories,109,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,international,108,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,india,107,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,capital,105,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,party,105,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,home,103,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,april,102,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,died,101,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,attacks,101,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,border,100,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,islam,96,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,work,94,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,hide,93,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,isis,92,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,disaster,91,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,countrys,89,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,attack,89,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,opposition,87,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,refugee,87,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,boat,87,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,reported,83,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,sunday,83,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,officials,82,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,local,82,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,days,81,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,water,79,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,just,78,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,security,78,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,highlights,77,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,district,77,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,thousands,77,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,months,76,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,monday,75,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,rahman,75,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,family,75,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,groups,75,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,rescue,74,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,statement,74,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,hospital,74,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,prime,73,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,september,73,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,war,73,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,indian,73,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,tuesday,72,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,men,71,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,coxs,71,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,hossain,70,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,world,70,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,bazar,70,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,near,70,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,military,70,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,ahmed,68,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,official,68,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,camp,68,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,director,67,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,south,67,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,arrested,66,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,recent,66,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,court,66,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,protests,66,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,rana,66,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,activists,66,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,families,65,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,hasina,64,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,bodies,63,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,injured,63,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,women,63,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,food,63,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,media,62,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,bangladeshis,62,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
CNN,left,61,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/cnn_logo.png?v=1724286330514
telegraph,england,446,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,people,430,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,ball,370,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,dhaka,290,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,just,257,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,world,253,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,building,218,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,cricket,210,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,government,207,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,team,207,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,police,199,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,india,193,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,bangladeshs,192,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,single,183,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,country,177,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,years,176,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,factory,166,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,cup,153,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,international,148,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,workers,147,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,shakib,146,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,players,144,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,bangladeshi,140,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,balls,135,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,game,133,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,killed,132,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,tour,129,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
telegraph,good,128,https://cdn.glitch.global/46639e58-58ca-4804-8212-3dff4efcf484/telegraph_logo.svg?v=1724286361724
