Year,Word,Frequency
2017,rohingya,385
2017,people,322
2017,myanmar,268
2017,government,228
2017,police,175
2017,dhaka,174
2017,refugees,154
2017,bangladeshi,145
2017,country,131
2017,killed,123
2017,state,122
2017,border,120
2017,rights,117
2017,years,113
2017,group,112
2017,violence,103
2017,bangladeshs,100
2017,attack,99
2017,children,95
2017,rakhine,93
2017,security,93
2017,international,88
2017,bazar,87
2017,coxs,86
2017,officials,82
2017,human,79
2017,refugee,78
2017,home,77
2017,military,77
2017,water,76
2017,united,76
2017,india,75
2017,militants,75
2017,attacks,73
2017,groups,72
2017,islam,71
2017,nations,69
2017,recent,68
2017,family,67
2017,near,67
2017,million,65
2017,just,65
2017,workers,64
2017,countrys,63
2017,myanmars,62
2017,muslim,62
2017,authorities,61
2017,homes,61
2017,september,61
2017,died,60
2017,world,60
2017,camps,60
2017,man,60
2017,islamic,60
2017,ullah,60
2017,camp,59
2017,fled,57
2017,thousands,55
2017,local,55
2017,islamist,55
2017,minister,55
2017,men,54
2017,food,54
2017,days,54
2017,ahmed,53
2017,statue,53
2017,army,51
2017,district,51
2017,tuesday,49
2017,general,49
2017,women,48
2017,ethnic,48
2017,took,48
2017,death,47
2017,long,47
2017,living,46
2017,court,45
2017,land,45
2017,came,45
2017,added,44
2017,area,44
2017,dont,44
2017,cafe,44
2017,members,43
2017,left,43
2017,aid,43
2017,place,43
2017,boat,43
2017,young,42
2017,capital,42
2017,prime,42
2017,work,41
2017,official,41
2017,live,41
2017,hasina,41
2017,used,40
2017,law,40
2017,return,40
2017,high,40
2017,crisis,40
2021,people,263
2021,dhaka,119
2021,government,89
2021,ball,87
2021,country,86
2021,india,83
2021,safety,80
2021,workers,72
2021,years,72
2021,bangladeshi,68
2021,factory,66
2021,garment,61
2021,bangladeshs,61
2021,police,58
2021,boat,57
2021,just,56
2021,international,56
2021,hindu,55
2021,million,54
2021,rights,52
2021,violence,52
2021,england,52
2021,killed,51
2021,roy,50
2021,ferry,49
2021,ms,49
2021,factories,48
2021,away,48
2021,group,48
2021,countrys,47
2021,world,47
2021,officials,46
2021,indian,45
2021,water,45
2021,countries,45
2021,brands,44
2021,single,43
2021,death,43
2021,died,42
2021,rohingya,42
2021,health,42
2021,capital,41
2021,passengers,40
2021,attack,40
2021,family,40
2021,hundreds,40
2021,river,40
2021,district,39
2021,local,39
2021,friday,38
2021,work,38
2021,refugees,38
2021,women,38
2021,children,38
2021,global,38
2021,home,37
2021,industry,36
2021,hospital,35
2021,minister,35
2021,climate,35
2021,director,34
2021,news,34
2021,building,34
2021,south,34
2021,pakistan,34
2021,islam,33
2021,change,33
2021,city,33
2021,outside,32
2021,working,32
2021,recent,32
2021,second,32
2021,good,31
2021,help,31
2021,religious,31
2021,accord,31
2021,took,30
2021,attacks,30
2021,reported,29
2021,agreement,29
2021,external,29
2021,village,29
2021,thousands,29
2021,going,29
2021,hossain,28
2021,number,28
2021,authorities,28
2021,muslim,28
2021,official,28
2021,left,28
2021,covid,28
2021,t,28
2021,west,28
2021,spread,27
2021,high,27
2021,pandemic,27
2021,groups,27
2021,food,27
2021,dont,27
2021,cases,27
2015,dhaka,419
2015,people,391
2015,police,375
2015,government,265
2015,death,249
2015,bloggers,231
2015,roy,211
2015,bangladeshi,208
2015,group,208
2015,killed,206
2015,country,192
2015,men,190
2015,blogger,188
2015,attack,188
2015,secular,182
2015,attacks,178
2015,bangladeshs,178
2015,war,177
2015,party,173
2015,islamic,169
2015,years,167
2015,rahman,158
2015,arrested,156
2015,islam,153
2015,killing,152
2015,minister,148
2015,women,142
2015,islamist,122
2015,political,120
2015,home,119
2015,hasina,116
2015,independence,116
2015,opposition,115
2015,prime,112
2015,capital,110
2015,million,110
2015,groups,110
2015,state,109
2015,murder,109
2015,india,109
2015,countrys,107
2015,religious,106
2015,pakistan,104
2015,sheikh,104
2015,violence,102
2015,security,102
2015,local,100
2015,jamaateislami,99
2015,leader,98
2015,authorities,97
2015,killings,95
2015,members,92
2015,just,91
2015,avijit,91
2015,world,90
2015,leaders,90
2015,zia,90
2015,crimes,88
2015,officials,87
2015,man,87
2015,monday,85
2015,atheist,85
2015,recent,84
2015,court,83
2015,left,81
2015,official,79
2015,indian,79
2015,claimed,78
2015,work,78
2015,family,78
2015,mohiuddin,78
2015,team,78
2015,social,77
2015,workers,76
2015,charges,75
2015,writers,74
2015,set,73
2015,international,73
2015,saturday,71
2015,responsibility,70
2015,khan,70
2015,factory,69
2015,days,69
2015,activists,68
2015,media,66
2015,hacked,66
2015,later,66
2015,months,66
2015,wife,66
2015,muslim,64
2015,young,64
2015,book,64
2015,rights,63
2015,outside,63
2015,attacked,63
2015,office,63
2015,saying,62
2015,ahmed,62
2015,died,61
2015,series,61
2019,people,311
2019,dhaka,198
2019,world,129
2019,bangladeshs,121
2019,government,121
2019,bangladeshi,117
2019,years,110
2019,country,101
2019,police,98
2019,rohingya,87
2019,home,84
2019,killed,80
2019,minister,75
2019,women,74
2019,death,73
2019,just,73
2019,cup,73
2019,begum,72
2019,south,70
2019,building,70
2019,team,70
2019,citizenship,68
2019,england,67
2019,officials,66
2019,state,65
2019,rights,65
2019,india,64
2019,died,63
2019,pakistan,62
2019,local,61
2019,cricket,61
2019,myanmar,61
2019,capital,60
2019,children,60
2019,group,58
2019,attack,56
2019,work,54
2019,international,54
2019,men,53
2019,water,53
2019,party,53
2019,workers,52
2019,opposition,52
2019,district,51
2019,buildings,51
2019,ms,50
2019,left,49
2019,hasina,49
2019,family,48
2019,external,48
2019,million,47
2019,took,46
2019,factory,45
2019,security,45
2019,played,45
2019,prime,44
2019,safety,44
2019,shakib,44
2019,west,44
2019,refugees,44
2019,authorities,43
2019,set,43
2019,members,43
2019,cyclone,43
2019,countrys,42
2019,city,42
2019,chittagong,42
2019,refugee,41
2019,tournament,41
2019,sheikh,40
2019,league,40
2019,inside,40
2019,british,40
2019,big,40
2019,students,40
2019,rahman,39
2019,later,39
2019,law,39
2019,match,39
2019,court,38
2019,thousands,38
2019,days,38
2019,players,38
2019,mosque,38
2019,seven,37
2019,media,37
2019,official,37
2019,thursday,37
2019,blaze,37
2019,yearold,37
2019,violence,37
2019,past,36
2019,sunday,36
2019,political,36
2019,hasan,36
2019,run,36
2019,game,36
2019,ground,36
2019,ball,36
2019,dont,35
2018,rohingya,258
2018,people,227
2018,government,181
2018,election,154
2018,myanmar,154
2018,opposition,149
2018,police,147
2018,party,146
2018,refugees,144
2018,dhaka,135
2018,country,126
2018,hasina,123
2018,minister,115
2018,rights,114
2018,camps,110
2018,violence,105
2018,years,93
2018,international,92
2018,bangladeshs,89
2018,protests,89
2018,students,88
2018,safety,87
2018,bangladeshi,86
2018,human,86
2018,prime,83
2018,camp,79
2018,family,78
2018,league,78
2018,killed,75
2018,awami,74
2018,return,74
2018,refugee,71
2018,sheikh,70
2018,thousands,67
