Year,Word,Frequency
2017,rohingya,32
2017,australia,13
2017,refugees,12
2017,happened,12
2017,attack,10
2017,test,10
2017,crisis,8
2017,myanmar,7
2017,v,7
2017,dead,6
2017,cafe,6
2017,india,6
2017,bangladeshs,6
2017,killed,6
2017,police,6
2017,champions,6
2017,trophy,6
2017,statue,5
2017,justice,5
2017,death,5
2017,militants,5
2017,pope,5
2017,bangladeshi,5
2017,second,5
2017,suspect,4
2017,pm,4
2017,lady,4
2017,refugee,4
2017,cyclone,4
2017,rain,4
2017,kill,4
2017,raid,4
2017,francis,4
2017,landslides,3
2017,york,3
2017,accused,3
2017,law,3
2017,border,3
2017,dhaka,3
2017,man,3
2017,england,3
2017,floods,3
2017,nepal,3
2017,blasts,3
2017,kills,3
2017,gay,3
2017,bangladeshis,3
2017,beat,3
2017,rise,3
2017,marriage,2
2017,genocide,2
2017,arrested,2
2017,silent,2
2017,pakistan,2
2017,camp,2
2017,water,2
2017,flood,2
2017,devastation,2
2017,reach,2
2017,boat,2
2017,capsizes,2
2017,fall,2
2017,victim,2
2017,cricket,2
2017,leaves,2
2017,family,2
2017,reinstalls,2
2017,islamist,2
2017,bid,2
2017,mora,2
2017,anniversary,2
2017,killing,2
2017,sentences,2
2017,murder,2
2017,reopens,2
2017,militant,2
2017,set,2
2017,nyc,2
2017,carrying,2
2017,removed,2
2017,court,2
2017,leader,2
2017,thousands,2
2017,muslims,2
2017,disappearances,2
2017,troops,2
2017,men,2
2017,checkpoint,2
2017,suspected,2
2017,protests,2
2017,shake,2
2017,global,2
2017,workshop,2
2017,apparel,2
2017,bombing,2
2017,life,2
2017,split,2
2017,brooklyn,2
2017,place,2
2017,wreaks,2
2021,people,8
2021,killed,8
2021,factory,7
2021,kills,7
2021,ferry,6
2021,t,6
2021,workers,6
2021,rohingya,5
2021,dead,5
2021,england,5
2021,world,5
2021,uk,5
2021,garment,5
2021,safety,5
2021,refugees,4
2021,bangladeshs,4
2021,death,4
2021,australia,4
2021,cup,4
2021,lockdown,4
2021,india,4
2021,blaze,3
2021,boat,3
2021,red,3
2021,die,3
2021,lightning,3
2021,wedding,3
2021,party,3
2021,killing,3
2021,pakistan,3
2021,modis,3
2021,visit,3
2021,covid,3
2021,dhaka,3
2021,climate,3
2021,dozens,3
2021,independence,3
2021,violence,3
2021,brands,3
2021,sign,3
2021,wave,3
2021,happened,3
2021,juice,2
2021,owner,2
2021,arrested,2
2021,fleeing,2
2021,lost,2
2021,crash,2
2021,strikes,2
2021,sentences,2
2021,gay,2
2021,massive,2
2021,camps,2
2021,live,2
2021,roy,2
2021,win,2
2021,kenya,2
2021,philippines,2
2021,list,2
2021,flee,2
2021,ahead,2
2021,strict,2
2021,means,2
2021,sentenced,2
2021,blogger,2
2021,hindu,2
2021,festival,2
2021,accord,2
2021,protests,2
2021,cyclone,2
2021,strike,2
2021,worst,2
2021,capsizes,2
2021,look,2
2021,cases,2
2021,beat,2
2021,deal,2
2021,clothing,2
2021,travel,2
2021,malaysiabound,1
2021,muslim,1
2021,feared,1
2021,sea,1
2021,incendio,1
2021,en,1
2021,una,1
2021,fbrica,1
2021,cobra,1
2021,la,1
2021,vida,1
2021,ms,1
2021,personas,1
2021,cross,1
2021,warns,1
2021,problems,1
2021,remote,1
2021,island,1
2021,housing,1
2021,seventeen,1
2021,slow,1
2015,blogger,24
2015,bloggers,19
2015,court,18
2015,arrest,17
2015,world,16
2015,police,16
2015,war,16
2015,death,15
2015,cup,15
2015,zia,14
2015,killed,13
2015,crimes,13
2015,secular,12
2015,execution,12
2015,graft,11
2015,ahead,11
2015,factory,10
2015,killing,10
2015,murder,10
2015,expremier,10
2015,avoids,10
2015,cases,10
2015,grants,10
2015,bail,10
2015,tightens,10
2015,security,10
2015,expected,10
2015,convict,10
2015,bangladeshi,10
2015,men,9
2015,cricket,9
2015,bangladeshs,8
2015,happened,8
2015,leader,8
2015,italian,8
2015,attack,8
2015,claims,8
2015,isis,8
2015,dead,7
2015,india,7
2015,opposition,7
2015,england,6
2015,hacked,6
2015,v,6
2015,islamist,6
2015,responsibility,6
2015,trial,5
2015,kills,5
2015,people,5
2015,arrests,5
2015,suspected,5
2015,murders,5
2015,border,5
2015,rana,5
2015,plaza,5
2015,mosque,5
2015,australia,5
2015,charge,5
2015,women,5
2015,child,4
2015,stampede,4
2015,garment,4
2015,afghanistan,4
2015,violence,4
2015,political,4
2015,british,4
2015,aid,4
2015,worker,4
2015,sentences,4
2015,man,4
