Year,Word,Frequency,Raw Frequency
2017,rohingya,941,385
2017,people,787,322
2017,myanmar,655,268
2017,government,557,228
2017,police,428,175
2017,dhaka,425,174
2017,refugees,376,154
2017,bangladeshi,354,145
2017,country,320,131
2017,killed,301,123
2017,state,298,122
2017,border,293,120
2017,rights,286,117
2017,years,276,113
2017,group,274,112
2017,violence,252,103
2017,bangladeshs,244,100
2017,attack,242,99
2017,children,232,95
2017,rakhine,227,93
2017,security,227,93
2017,international,215,88
2017,bazar,213,87
2017,coxs,210,86
2017,officials,200,82
2017,human,193,79
2017,refugee,191,78
2017,home,188,77
2017,military,188,77
2017,water,186,76
2017,united,186,76
2017,india,183,75
2017,militants,183,75
2017,attacks,178,73
2017,groups,176,72
2017,islam,174,71
2017,nations,169,69
2017,recent,166,68
2017,family,164,67
2017,near,164,67
2017,million,159,65
2017,just,159,65
2017,workers,156,64
2017,countrys,154,63
2017,myanmars,152,62
2017,muslim,152,62
2017,authorities,149,61
2017,homes,149,61
2017,september,149,61
2017,died,147,60
2017,world,147,60
2017,camps,147,60
2017,man,147,60
2017,islamic,147,60
2017,ullah,147,60
2017,camp,144,59
2017,fled,139,57
2017,thousands,134,55
2017,local,134,55
2017,islamist,134,55
2017,minister,134,55
2017,men,132,54
2017,food,132,54
2017,days,132,54
2017,ahmed,130,53
2017,statue,130,53
2017,army,125,51
2017,district,125,51
2017,tuesday,120,49
2017,general,120,49
2017,women,117,48
2017,ethnic,117,48
2017,took,117,48
2017,death,115,47
2017,long,115,47
2017,living,112,46
2017,court,110,45
2017,land,110,45
2017,came,110,45
2017,added,108,44
2017,area,108,44
2017,dont,108,44
2017,cafe,108,44
2017,members,105,43
2017,left,105,43
2017,aid,105,43
2017,place,105,43
2017,boat,105,43
2017,young,103,42
2017,capital,103,42
2017,prime,103,42
2017,work,100,41
2017,official,100,41
2017,live,100,41
2017,hasina,100,41
2017,used,98,40
2017,law,98,40
2017,return,98,40
2017,high,98,40
2017,crisis,98,40
2017,help,95,39
2017,island,95,39
2017,floods,95,39
2017,river,95,39
2017,want,95,39
2017,forces,95,39
2017,august,95,39
2017,trying,93,38
2017,months,93,38
2017,girls,93,38
2017,party,93,38
2017,end,93,38
2017,series,90,37
2017,change,90,37
2017,league,90,37
2017,situation,90,37
2017,villages,90,37
2017,rahman,90,37
2017,secular,90,37
2017,building,90,37
2017,away,88,36
2017,sheikh,88,36
2017,pakistan,88,36
2017,pope,88,36
2017,chittagong,86,35
2017,injured,86,35
2017,began,86,35
2017,accused,86,35
2017,number,86,35
2017,national,86,35
2017,ago,86,35
2017,community,86,35
2017,later,86,35
2017,england,86,35
2017,houses,83,34
2017,areas,83,34
2017,earlier,83,34
2017,small,83,34
2017,makeshift,83,34
2017,thursday,83,34
2017,activists,83,34
2017,case,81,33
2017,set,81,33
2017,report,81,33
2017,denied,81,33
2017,inside,81,33
2017,crossing,81,33
2017,arrived,81,33
2017,leader,81,33
2017,safety,81,33
2017,past,81,33
2017,religious,81,33
2017,crackdown,81,33
2017,night,78,32
2017,director,78,32
2017,awami,78,32
2017,muslims,78,32
2017,friday,78,32
2017,woman,78,32
2017,hospital,78,32
2017,runs,78,32
2017,went,76,31
2017,asia,76,31
2017,spokesman,76,31
2017,life,76,31
2017,humanitarian,76,31
2017,village,76,31
2017,fleeing,76,31
2017,families,76,31
2017,lost,76,31
2017,july,76,31
2017,know,76,31
2017,city,73,30
2017,taking,73,30
2017,early,73,30
2017,monday,73,30
2017,bengal,73,30
2017,south,73,30
